cesm,Gromacs-CPU-2,Jacob-MemXCT-CPU,agupta01-hpcg-cpu,agupta01-hpcg-gpu,gromacs-GPU-working,hoz-scc,hoz-scc2,hpcg-gpu-2,miniVite-strong-scale-tests,zihao-gromacs-CPU,zihao-gromacs-GPU
11/09/20:19:12:13,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:19:18:14,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:19:24:13,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:19:30:13,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:19:36:13,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:19:42:13,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:19:48:13,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:19:54:13,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:20:00:13,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:20:06:13,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:20:12:13,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:20:18:12,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:20:24:13,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:20:30:13,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:20:36:13,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:20:42:13,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:20:48:13,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:20:54:12,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:21:00:12,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:21:06:12,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:21:12:12,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/09/20:21:18:12,24.106728,23.797172,0.347255,0,0,0,0,0,0,0,0,0
